PERIOD,DATE,SITE,NDVI
42,10/18/2017,PM14,8191
42,10/18/2017,PM16,8610
42,10/18/2017,PM5,8115
42,10/18/2017,PM4,7630
42,10/18/2017,PM1,7270
42,10/18/2017,PM12,8242
42,10/18/2017,PM7,8457
42,10/18/2017,PM2,7793
42,10/18/2017,PM8,8159
42,10/18/2017,PM18,8415
42,10/18/2017,PM20,7978
42,10/18/2017,PM21,8401
42,10/18/2017,PM10,7227
42,10/18/2017,PM17,8619
42,10/18/2017,PM9,7662
42,10/18/2017,PM22,7574
42,10/18/2017,PM6,8228
42,10/18/2017,PM3,7857
43,11/3/2017,PM15,4810
43,11/3/2017,PM7,5677
43,11/3/2017,PM14,4996
43,11/3/2017,PM16,5558
43,11/3/2017,PM8,5626
43,11/3/2017,PM18,5675
43,11/3/2017,PM4,6000
43,11/3/2017,PM9,4921
43,11/3/2017,PM21,5714
43,11/3/2017,PM10,4793
43,11/3/2017,PM2,5853
43,11/3/2017,PM5,5665
43,11/3/2017,PM6,5406
43,11/3/2017,PM22,5325
43,11/3/2017,PM11,5339
43,11/3/2017,PM17,5655
43,11/3/2017,PM19,5497
43,11/3/2017,PM3,5919
43,11/3/2017,PM13,5491
43,11/3/2017,PM12,4863
43,11/3/2017,PM20,6388
43,11/3/2017,PM1,6534
44,11/19/2017,PM9,5358
44,11/19/2017,PM10,4777
44,11/19/2017,PM8,5787
44,11/19/2017,PM5,5396
44,11/19/2017,PM3,5912
44,11/19/2017,PM13,4995
44,11/19/2017,PM4,5432
44,11/19/2017,PM2,5545
44,11/19/2017,PM15,4613
44,11/19/2017,PM6,5478
44,11/19/2017,PM12,4645
44,11/19/2017,PM14,4871
44,11/19/2017,PM19,4642
44,11/19/2017,PM1,5615
44,11/19/2017,PM18,5077
44,11/19/2017,PM16,4847
44,11/19/2017,PM20,5079
44,11/19/2017,PM7,5043
44,11/19/2017,PM22,5297
44,11/19/2017,PM17,5227
44,11/19/2017,PM11,4989
44,11/19/2017,PM21,4965
45,12/5/2017,PM15,4883
45,12/5/2017,PM19,4504
45,12/5/2017,PM4,5416
45,12/5/2017,PM16,4550
45,12/5/2017,PM14,4578
45,12/5/2017,PM3,6423
45,12/5/2017,PM18,4699
45,12/5/2017,PM8,5844
45,12/5/2017,PM20,4647
45,12/5/2017,PM9,6062
45,12/5/2017,PM7,5233
45,12/5/2017,PM10,4944
45,12/5/2017,PM17,4736
45,12/5/2017,PM2,5053
45,12/5/2017,PM5,5985
45,12/5/2017,PM13,5170
45,12/5/2017,PM1,5920
45,12/5/2017,PM22,5269
45,12/5/2017,PM6,5430
45,12/5/2017,PM12,4681
45,12/5/2017,PM11,4595
45,12/5/2017,PM21,4833
46,12/21/2017,PM3,5210
46,12/21/2017,PM8,5651
46,12/21/2017,PM15,4578
46,12/21/2017,PM10,4720
46,12/21/2017,PM4,5735
46,12/21/2017,PM2,5388
46,12/21/2017,PM7,5055
46,12/21/2017,PM12,4438
46,12/21/2017,PM14,4788
46,12/21/2017,PM18,4484
46,12/21/2017,PM5,5806
46,12/21/2017,PM13,4944
46,12/21/2017,PM11,4729
46,12/21/2017,PM16,4405
46,12/21/2017,PM6,4794
46,12/21/2017,PM19,4477
46,12/21/2017,PM9,5762
46,12/21/2017,PM20,4619
46,12/21/2017,PM1,5568
46,12/21/2017,PM17,4680
46,12/21/2017,PM22,5068
46,12/21/2017,PM21,4541
47,1/6/2018,PM14,4788
47,1/6/2018,PM3,5210
47,1/6/2018,PM13,4944
47,1/6/2018,PM4,5735
47,1/6/2018,PM8,5651
47,1/6/2018,PM15,4578
47,1/6/2018,PM19,4477
47,1/6/2018,PM2,5388
47,1/6/2018,PM16,4405
47,1/6/2018,PM5,5806
47,1/6/2018,PM7,5055
47,1/6/2018,PM9,5762
47,1/6/2018,PM22,5068
47,1/6/2018,PM10,4720
47,1/6/2018,PM12,4438
47,1/6/2018,PM17,4680
47,1/6/2018,PM21,4541
47,1/6/2018,PM6,4794
47,1/6/2018,PM20,4619
47,1/6/2018,PM18,4484
47,1/6/2018,PM11,4729
47,1/6/2018,PM1,5568
48,1/22/2018,PM14,4602
48,1/22/2018,PM8,5698
48,1/22/2018,PM7,4667
48,1/22/2018,PM2,4489
48,1/22/2018,PM19,4524
48,1/22/2018,PM5,5592
48,1/22/2018,PM18,4613
48,1/22/2018,PM9,5254
48,1/22/2018,PM17,4627
48,1/22/2018,PM1,4925
48,1/22/2018,PM3,5390
48,1/22/2018,PM12,4208
48,1/22/2018,PM22,4810
48,1/22/2018,PM16,4328
48,1/22/2018,PM4,5662
48,1/22/2018,PM13,4678
48,1/22/2018,PM15,4337
48,1/22/2018,PM6,5881
48,1/22/2018,PM10,4765
48,1/22/2018,PM20,4428
48,1/22/2018,PM11,4484
48,1/22/2018,PM21,4490
