GROUP,SITE,DATE,TIME,SPECIES,COUNT,ANTLERED,YOUNG,DATE.TIME
1,PM5,3/24/2018,9:45,deer,2,0,0,3/24/2018 9:45
1,PM5,3/26/2018,8:44,deer,1,0,0,3/26/2018 8:44
1,PM5,3/26/2018,9:21,deer,1,0,0,3/26/2018 9:21
1,PM5,3/26/2018,10:06,deer,1,0,0,3/26/2018 10:06
1,PM5,3/26/2018,11:03,deer,2,0,0,3/26/2018 11:03
1,PM5,3/26/2018,11:19,deer,1,0,0,3/26/2018 11:19
1,PM5,3/26/2018,11:31,deer,2,0,0,3/26/2018 11:31
1,PM5,3/26/2018,11:33,deer,2,0,0,3/26/2018 11:33
1,PM5,3/26/2018,11:41,deer,3,0,0,3/26/2018 11:41
1,PM5,3/29/2018,12:34,deer,1,0,0,3/29/2018 0:34
1,PM5,3/29/2018,12:39,deer,1,0,0,3/29/2018 0:39
1,PM5,3/29/2018,9:36,deer,1,0,0,3/29/2018 9:36
1,PM5,3/31/2018,5:19,deer,1,0,0,3/31/2018 5:19
1,PM5,3/31/2018,5:22,deer,1,0,0,3/31/2018 5:22
1,PM5,3/31/2018,7:42,deer,2,0,0,3/31/2018 7:42
1,PM5,3/31/2018,8:17,deer,1,0,0,3/31/2018 8:17
1,PM5,3/31/2018,11:40,deer,2,0,0,3/31/2018 11:40
1,PM22,1/1/2018,1:47,deer,2,0,0,1/1/2018 1:47
1,PM22,1/1/2018,2:58,deer,1,0,0,1/1/2018 2:58
1,PM22,1/1/2018,9:16,deer,2,0,0,1/1/2018 9:16
1,PM22,1/1/2018,9:18,deer,3,0,0,1/1/2018 9:18
1,PM22,1/1/2018,8:35,deer,1,0,0,1/1/2018 20:35
1,PM22,1/1/2018,8:38,deer,1,0,0,1/1/2018 20:38
1,PM22,1/1/2018,8:40,deer,1,0,0,1/1/2018 20:40
1,PM22,1/1/2018,11:26,deer,1,0,0,1/1/2018 23:26
1,PM22,1/2/2018,2:23,deer,1,0,0,1/2/2018 2:23
1,PM22,1/2/2018,2:29,deer,1,1,0,1/2/2018 2:29
1,PM22,1/2/2018,5:25,deer,1,0,0,1/2/2018 5:25
1,PM22,1/2/2018,9:18,deer,1,0,0,1/2/2018 9:18
1,PM22,1/2/2018,9:20,deer,1,0,0,1/2/2018 9:20
1,PM22,1/2/2018,9:22,deer,2,0,0,1/2/2018 9:22
1,PM22,1/2/2018,9:24,deer,4,0,0,1/2/2018 9:24
1,PM22,1/2/2018,7:12,deer,1,1,0,1/2/2018 19:12
1,PM22,1/2/2018,11:59,deer,1,0,0,1/2/2018 23:59
1,PM22,1/3/2018,6:57,deer,1,0,0,1/3/2018 6:57
1,PM22,1/3/2018,7:28,deer,1,0,0,1/3/2018 7:28
1,PM22,1/3/2018,6:35,deer,1,0,0,1/3/2018 18:35
1,PM22,1/3/2018,11:14,deer,1,0,0,1/3/2018 23:14
1,PM22,1/4/2018,3:30,deer,1,0,0,1/4/2018 3:30
1,PM22,1/4/2018,5:02,deer,2,0,0,1/4/2018 5:02
1,PM22,1/4/2018,5:09,deer,1,0,0,1/4/2018 5:09
1,PM22,1/4/2018,6:13,deer,1,0,0,1/4/2018 6:13
1,PM22,1/4/2018,7:21,deer,1,0,0,1/4/2018 7:21
1,PM22,1/4/2018,9:33,deer,1,0,0,1/4/2018 21:33
1,PM22,1/4/2018,9:35,deer,1,0,0,1/4/2018 21:35
1,PM22,1/4/2018,11:11,deer,1,0,0,1/4/2018 23:11
1,PM22,1/5/2018,2:15,deer,1,0,0,1/5/2018 2:15
1,PM22,1/5/2018,3:56,deer,2,0,0,1/5/2018 3:56
1,PM22,1/5/2018,7:19,deer,1,0,0,1/5/2018 7:19
1,PM22,1/5/2018,6:04,deer,2,0,0,1/5/2018 18:04
1,PM22,1/5/2018,6:06,deer,1,0,0,1/5/2018 18:06
1,PM22,1/5/2018,11:47,deer,1,0,0,1/5/2018 23:47
1,PM22,1/6/2018,1:49,deer,1,0,0,1/6/2018 1:49
1,PM22,1/6/2018,1:53,deer,1,0,0,1/6/2018 1:53
1,PM22,1/6/2018,4:36,deer,1,0,0,1/6/2018 4:36
1,PM22,1/6/2018,6:11,deer,1,0,0,1/6/2018 6:11
1,PM22,1/7/2018,2:09,deer,1,0,0,1/7/2018 2:09
1,PM22,1/7/2018,2:14,deer,1,0,0,1/7/2018 2:14
1,PM22,1/7/2018,4:55,deer,1,0,0,1/7/2018 4:55
1,PM22,1/7/2018,4:57,deer,1,0,0,1/7/2018 4:57
1,PM22,1/7/2018,5:12,deer,1,1,0,1/7/2018 5:12
1,PM22,1/7/2018,7:54,deer,1,0,0,1/7/2018 7:54
1,PM22,1/8/2018,10:55,deer,1,0,0,1/8/2018 22:55
1,PM22,1/13/2018,4:06,deer,1,0,0,1/13/2018 4:06
1,PM22,1/13/2018,5:57,deer,1,0,0,1/13/2018 5:57
1,PM22,1/13/2018,6:41,deer,1,0,0,1/13/2018 6:41
1,PM22,1/13/2018,3:59,deer,1,0,0,1/13/2018 15:59
1,PM22,1/14/2018,1:42,deer,1,0,0,1/14/2018 1:42
1,PM22,1/14/2018,4:48,deer,1,0,0,1/14/2018 4:48
1,PM22,1/14/2018,5:06,deer,1,0,0,1/14/2018 5:06
1,PM22,1/14/2018,7:35,deer,5,0,0,1/14/2018 7:35
1,PM22,1/14/2018,7:11,deer,1,0,0,1/14/2018 19:11
1,PM22,1/14/2018,11:00,deer,1,0,0,1/14/2018 23:00
1,PM22,1/15/2018,2:01,deer,1,0,0,1/15/2018 2:01
1,PM22,1/15/2018,2:35,deer,1,0,0,1/15/2018 2:35
1,PM22,1/15/2018,2:57,deer,1,0,0,1/15/2018 2:57
1,PM22,1/15/2018,8:11,deer,1,0,0,1/15/2018 20:11
1,PM22,1/15/2018,9:40,deer,1,0,0,1/15/2018 21:40
1,PM22,1/18/2018,5:46,deer,1,1,0,1/18/2018 17:46
1,PM22,1/19/2018,10:07,deer,1,0,0,1/19/2018 10:07
1,PM22,1/20/2018,12:34,deer,1,0,0,1/20/2018 0:34
1,PM22,1/21/2018,4:50,deer,1,0,0,1/21/2018 4:50
1,PM22,1/21/2018,5:13,deer,1,0,0,1/21/2018 5:13
1,PM22,1/23/2018,9:18,deer,1,0,0,1/23/2018 21:18
1,PM22,1/24/2018,4:40,deer,2,0,0,1/24/2018 4:40
1,PM4,1/1/2018,3:33:49,deer,1,0,0,1/1/2018 3:33
1,PM4,1/1/2018,5:14:37,deer,1,0,0,1/1/2018 5:14
1,PM4,1/3/2018,21:45:53,deer,1,0,0,1/3/2018 21:45
1,PM4,1/4/2018,21:17:52,deer,1,0,0,1/4/2018 21:17
1,PM4,1/4/2018,21:27:08,deer,1,0,0,1/4/2018 21:27
1,PM4,1/4/2018,23:11:36,deer,2,0,0,1/4/2018 23:11
1,PM4,1/4/2018,23:13:37,deer,1,0,1,1/4/2018 23:13
1,PM4,1/4/2018,23:15:52,deer,1,0,1,1/4/2018 23:15
1,PM4,1/5/2018,5:24:12,deer,1,0,1,1/5/2018 5:24
1,PM4,1/5/2018,5:26:15,deer,1,0,1,1/5/2018 5:26
1,PM4,1/6/2018,6:08:45,deer,1,0,0,1/6/2018 6:08
1,PM4,1/6/2018,6:43:24,deer,1,1,0,1/6/2018 6:43
1,PM4,1/6/2018,7:01:41,deer,1,0,0,1/6/2018 7:01
1,PM4,1/6/2018,7:03:43,deer,1,0,0,1/6/2018 7:03
1,PM4,1/6/2018,7:09:59,deer,1,0,0,1/6/2018 7:09
1,PM4,1/7/2018,0:31:23,deer,1,0,1,1/7/2018 0:31
1,PM4,1/14/2018,19:50:23,deer,1,0,1,1/14/2018 19:50
